AgentID,AgentLabel,Back-document-count,Back-avg-document-likelihood,Back-avg-document-strength,Build-document-count,Build-avg-document-likelihood,Build-avg-document-strength,Bridge-document-count,Bridge-avg-document-likelihood,Bridge-avg-document-strength,Boost-document-count,Boost-avg-document-likelihood,Boost-avg-document-strength,Excite-document-count,Excite-avg-document-likelihood,Excite-avg-document-strength,Engage-document-count,Engage-avg-document-likelihood,Engage-avg-document-strength,Explain-document-count,Explain-avg-document-likelihood,Explain-avg-document-strength,Enhance-document-count,Enhance-avg-document-likelihood,Enhance-avg-document-strength,Neutralize-document-count,Neutralize-avg-document-likelihood,Neutralize-avg-document-strength,Negate-document-count,Negate-avg-document-likelihood,Negate-avg-document-strength,Narrow-document-count,Narrow-avg-document-likelihood,Narrow-avg-document-strength,Neglect-document-count,Neglect-avg-document-likelihood,Neglect-avg-document-strength,Dismay-document-count,Dismay-avg-document-likelihood,Dismay-avg-document-strength,Dismiss-document-count,Dismiss-avg-document-likelihood,Dismiss-avg-document-strength,Distort-document-count,Distort-avg-document-likelihood,Distort-avg-document-strength,Distract-document-count,Distract-avg-document-likelihood,Distract-avg-document-strength,
100064993891753,pnagovph,0,0,0,0,0,0,1,0.467,0.200,1,0.222,0.056,1,0.196,0.108,1,0.137,0.049,1,0.400,0.275,1,1,0.771,0,0,0,0,0,0,1,0.400,0.100,0,0,0,1,0.105,0.039,1,0.125,0.035,0,0,0,1,0.167,0.042,
100064360824747,ONENewsPH,0,0,0,1,0.333,0.250,2,0.400,0.300,2,0.463,0.319,1,0.412,0.397,2,0.069,0.025,2,0.350,0.338,1,0.244,0.217,0,0,0,1,0.282,0.192,2,0.467,0.275,0,0,0,1,0.368,0.316,2,0.167,0.143,1,0.389,0.264,2,0.194,0.073,
100080128194473,HukbalatsinHukboNgBayanLabanSaImperyalistangTsino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.300,0.250,0,0,0,0,0,0,0,0,0,0,0,0,1,0.667,0.667,0,0,0,0,0,0,0,0,0,0,0,0,
100095218417448,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100064555905382,hariankompas,1,0.111,0.036,1,0.500,0.125,2,0.300,0.250,1,0.481,0.333,1,0.471,0.219,2,0.147,0.089,2,0.400,0.365,1,0.200,0.098,1,0.162,0.054,1,0.333,0.115,2,0.600,0.418,1,0.667,0.667,2,0.316,0.179,1,0.333,0.138,0,0,0,2,0.264,0.237,
100095218417460,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100095218417380,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100064343604046,929bnfmcauayan,5,0.142,0.093,5,0.556,0.217,3,0.289,0.200,6,0.401,0.213,5,0.400,0.272,7,0.118,0.077,7,0.419,0.396,6,0.470,0.289,5,0.130,0.050,5,0.297,0.115,5,0.333,0.104,2,0.667,0.667,6,0.360,0.211,5,0.296,0.149,2,0.167,0.042,7,0.175,0.073,
100067118364824,PTVph,0,0,0,0,0,0,1,0.200,0.050,0,0,0,0,0,0,1,0.059,0.015,1,0.300,0.250,0,0,0,0,0,0,0,0,0,1,0.400,0.100,0,0,0,0,0,0,0,0,0,0,0,0,1,0.167,0.042,
100095218417453,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
