AgentID,AgentLabel,Back-document-count,Back-avg-document-likelihood,Back-avg-document-strength,Build-document-count,Build-avg-document-likelihood,Build-avg-document-strength,Bridge-document-count,Bridge-avg-document-likelihood,Bridge-avg-document-strength,Boost-document-count,Boost-avg-document-likelihood,Boost-avg-document-strength,Excite-document-count,Excite-avg-document-likelihood,Excite-avg-document-strength,Engage-document-count,Engage-avg-document-likelihood,Engage-avg-document-strength,Explain-document-count,Explain-avg-document-likelihood,Explain-avg-document-strength,Enhance-document-count,Enhance-avg-document-likelihood,Enhance-avg-document-strength,Neutralize-document-count,Neutralize-avg-document-likelihood,Neutralize-avg-document-strength,Negate-document-count,Negate-avg-document-likelihood,Negate-avg-document-strength,Narrow-document-count,Narrow-avg-document-likelihood,Narrow-avg-document-strength,Neglect-document-count,Neglect-avg-document-likelihood,Neglect-avg-document-strength,Dismay-document-count,Dismay-avg-document-likelihood,Dismay-avg-document-strength,Dismiss-document-count,Dismiss-avg-document-likelihood,Dismiss-avg-document-strength,Distort-document-count,Distort-avg-document-likelihood,Distort-avg-document-strength,Distract-document-count,Distract-avg-document-likelihood,Distract-avg-document-strength,
100064993891753,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100064360824747,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100080128194473,HukbalatsinHukboNgBayanLabanSaImperyalistangTsino,0,0,0,0,0,0,2,0.200,0.075,2,0.241,0.139,1,0.275,0.157,2,0.069,0.032,2,0.417,0.354,1,0.222,0.100,0,0,0,0,0,0,1,0.200,0,0,0,0,0,0,0,1,0.125,0.051,0,0,0,1,0.083,0,
100095218417448,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100064555905382,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100095218417460,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100095218417380,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100064343604046,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100067118364824,PTVph,0,0,0,1,0.222,0.125,3,0.267,0.133,5,0.296,0.144,4,0.284,0.121,5,0.129,0.041,4,0.450,0.337,0,0,0,0,0,0,1,0.154,0.077,1,0.200,0.050,1,0.667,0.667,3,0.193,0.075,5,0.167,0.068,4,0.208,0.036,1,0.111,0.062,
100095218417453,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
