Node ID,Back (bend),Build (bend),Bridge (bend),Boost (bend),Excite (bend),Engage (bend),Explain (bend),Enhance (bend),Neutralize (bend),Negate (bend),Narrow (bend),Neglect (bend),Dismay (bend),Dismiss (bend),Distort (bend),Distract (bend)
100064993891753,2,5,12,9,9,17,18,12,2,8,16,7,15,10,1,11
100064360824747,0,3,11,4,5,7,11,5,0,6,8,3,8,7,3,8
100080128194473,0,5,7,7,9,11,22,4,0,8,11,8,12,10,6,5
100095218417448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100064555905382,1,3,3,3,3,3,3,3,1,3,3,0,3,3,0,2
100095218417460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100095218417380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100064343604046,8,9,9,9,9,9,9,6,7,8,9,0,9,9,2,8
100067118364824,0,16,32,20,19,32,35,7,0,23,28,16,31,26,5,27
100095218417453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100095218417390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100076419484513,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1
100095218417430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100064603694962,1,1,3,4,2,1,5,0,1,2,0,1,3,0,2,0
100064713306722,1,3,10,10,13,16,16,7,0,2,16,2,8,7,0,4
100063983834105,0,10,11,2,2,11,11,1,0,0,11,2,10,10,5,7
100095218417469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100067404650474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100069387241964,0,15,21,22,29,32,32,13,0,19,24,1,32,32,10,11
100064831055208,0,5,5,5,5,7,7,4,0,4,7,3,5,5,1,4
100095218417450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100053440385973,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0
100069154181487,0,5,25,27,33,38,39,12,0,13,39,0,39,39,3,5
100064912081793,0,12,21,20,25,30,31,16,0,10,29,6,24,23,8,16
100095218417441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100064872153249,0,10,10,10,10,10,0,0,0,10,10,0,10,10,10,10
100095218417458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100095218417400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100071438194667,0,1,3,2,5,9,9,2,0,1,9,3,6,6,7,6
100095218417463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277844926117743,0,0,3,1,2,4,6,1,0,0,4,8,2,2,1,3
100064469992941,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
100064624721992,0,2,2,1,2,2,3,0,0,2,2,0,2,2,1,2
100095218417378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100064921381361,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0
100095218417475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100057601691617,0,5,8,8,9,9,9,7,0,4,9,1,9,9,7,4
100095218417461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100066454241810,0,5,0,0,0,0,6,0,0,0,0,1,0,0,5,0
100067470001270,0,32,60,59,91,102,102,48,0,37,91,25,95,91,15,38
100095218417427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100066794299871,3,3,1,4,4,4,4,0,3,4,4,0,4,4,4,4
100064301853697,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
100064695606437,8,10,19,10,14,21,22,10,7,9,19,6,17,16,2,18
100064583687882,0,3,21,15,24,28,28,22,0,1,28,12,23,17,1,11
100064779514127,0,3,17,17,17,17,17,17,0,5,17,1,17,17,2,7
100095218417433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100064688230749,0,1,1,1,2,2,2,0,0,0,2,0,1,0,0,2
100064748554373,0,2,2,1,0,2,2,0,0,0,2,0,2,2,2,2
100039732346840,0,3,3,0,0,3,3,0,0,0,3,0,3,3,3,3
100095218417416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100064992870078,0,23,67,65,63,76,94,50,0,50,78,16,77,54,14,41
100095218417417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100066814033799,8,8,8,8,8,8,8,6,7,7,8,0,8,8,2,8
100064740066209,6,15,45,45,45,45,45,44,3,8,45,10,45,45,5,28
100095218417375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100064322756807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100063819732625,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1
100065657256165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100076267325329,8,8,8,8,9,8,9,6,7,7,8,0,8,9,3,8
100095218417384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100044310822279,11,11,3,11,11,11,11,0,10,10,3,0,10,2,2,3
100076681819677,8,8,8,8,8,8,8,6,7,7,8,0,8,8,2,8
100081724125146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100075882527501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
781170378635478,0,16,21,15,25,46,50,13,0,17,43,49,23,19,19,19
100069028928005,0,11,25,15,19,29,37,22,0,14,32,7,18,11,7,22
100063763247008,1,3,3,3,2,0,4,1,1,2,1,1,2,1,1,0
100095218417409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100044509176491,0,1,0,0,2,2,2,0,0,0,2,0,2,2,2,1
100064090114839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100066463665428,8,8,7,8,8,8,8,6,7,7,8,0,8,8,2,8
100069325174986,0,7,3,7,8,8,7,1,0,2,7,2,8,8,7,7
100068942658501,0,1,3,3,3,3,3,0,1,0,3,0,3,3,1,1
100064389804236,0,2,20,10,21,24,24,3,0,6,24,11,23,23,4,20
100064081988076,0,3,6,6,5,7,8,4,0,5,5,1,6,6,2,4
100095218417431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100064262006665,0,4,6,9,11,11,13,1,0,7,13,3,7,13,10,6
100090213696534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100064860451629,8,8,8,8,8,8,8,6,7,7,8,0,8,8,2,8
100078949877906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100069012428768,0,0,0,0,0,0,4,0,0,1,2,0,1,2,0,0
100064749126391,8,9,9,9,9,9,9,7,7,8,9,0,9,9,2,9
100064138746198,8,8,8,8,8,9,9,7,7,7,9,0,9,8,2,8
1710445832541836,0,0,0,0,0,3,3,1,0,0,2,4,0,0,0,0
100095218417462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100067786101011,0,3,3,3,3,3,3,3,0,3,3,0,3,3,3,3
100063980856053,8,9,9,9,9,9,9,7,7,8,9,0,9,9,2,9
100095218417451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100064778838852,0,8,8,0,0,8,8,0,0,0,8,0,0,1,1,8
100064569284356,8,8,8,8,8,8,8,6,7,7,8,0,8,8,2,8
100063788953856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100095218417440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100064760198548,0,0,3,3,3,2,4,1,0,0,1,1,2,1,3,0
100095218417391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100070065265866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100064582754042,8,8,8,8,8,8,8,6,7,7,8,0,8,8,2,8
100063801240299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100058248390340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169252485416420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100066350907204,0,7,8,8,14,12,14,7,0,10,11,5,12,11,4,10
100041926306259,0,2,2,1,2,2,2,0,1,1,2,0,2,2,2,2
100064853944204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100064603425232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100064574146585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100086751460773,1,1,2,0,2,4,3,0,0,2,4,2,3,3,2,4
100095218417405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100064138060472,2,5,8,5,7,8,8,5,2,2,8,1,7,7,3,8
100079496666641,8,8,9,9,8,10,10,8,7,7,10,0,9,8,2,9
100064110999480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100083989090630,8,8,8,8,8,8,8,6,7,7,8,0,8,8,2,8
819604289151633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100064451719069,0,2,3,2,2,5,5,0,0,0,5,4,0,0,2,3
100066839197177,0,2,2,0,2,2,2,0,0,0,2,0,2,2,2,2
100095218417449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722216981228301,0,0,1,0,0,2,2,0,0,0,2,12,0,0,0,1
100063472516450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100064167664532,8,8,8,8,8,8,8,6,7,7,8,0,8,8,2,8
100064689459022,0,0,4,4,4,4,4,4,0,0,4,0,4,4,0,0
100095218417471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100069316865412,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1
100084064746848,8,8,8,8,8,8,8,6,7,7,8,0,8,8,2,8
