AgentID,AgentLabel,Back-document-count,Back-avg-document-likelihood,Back-avg-document-strength,Build-document-count,Build-avg-document-likelihood,Build-avg-document-strength,Bridge-document-count,Bridge-avg-document-likelihood,Bridge-avg-document-strength,Boost-document-count,Boost-avg-document-likelihood,Boost-avg-document-strength,Excite-document-count,Excite-avg-document-likelihood,Excite-avg-document-strength,Engage-document-count,Engage-avg-document-likelihood,Engage-avg-document-strength,Explain-document-count,Explain-avg-document-likelihood,Explain-avg-document-strength,Enhance-document-count,Enhance-avg-document-likelihood,Enhance-avg-document-strength,Neutralize-document-count,Neutralize-avg-document-likelihood,Neutralize-avg-document-strength,Negate-document-count,Negate-avg-document-likelihood,Negate-avg-document-strength,Narrow-document-count,Narrow-avg-document-likelihood,Narrow-avg-document-strength,Neglect-document-count,Neglect-avg-document-likelihood,Neglect-avg-document-strength,Dismay-document-count,Dismay-avg-document-likelihood,Dismay-avg-document-strength,Dismiss-document-count,Dismiss-avg-document-likelihood,Dismiss-avg-document-strength,Distort-document-count,Distort-avg-document-likelihood,Distort-avg-document-strength,Distract-document-count,Distract-avg-document-likelihood,Distract-avg-document-strength
100064993891753,pnagovph,6,0.057,0.033,8,0.389,0.115,2,0.267,0.15,6,0.247,0.093,4,0.211,0.135,2,0.069,0.025,8,0.317,0.307,0,0,0,6,0.045,0.016,6,0.124,0.042,3,0.289,0.117,0,0,0,6,0.152,0.113,6,0.146,0.091,1,0.167,0.042,0,0,0
100064360824747,ONENewsPH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100080128194473,Hukbalatsin ( Hukbo Ng Bayan Laban Sa Tsino ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100095218417448,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100064555905382,hariankompas,4,0.067,0.039,5,0.433,0.117,5,0.253,0.21,5,0.393,0.244,3,0.294,0.164,3,0.078,0.043,5,0.327,0.315,1,0.2,0.162,5,0.086,0.039,5,0.226,0.108,2,0.4,0.275,0,0,0,5,0.256,0.155,5,0.183,0.102,0,0,0,4,0.181,0.13
100095218417460,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100095218417380,,1661,0.119,0.08,1702,0.503,0.185,798,0.26,0.153,1624,0.39,0.191,1472,0.311,0.191,1100,0.084,0.048,1702,0.353,0.339,701,0.196,0.116,1662,0.099,0.044,1546,0.213,0.093,1032,0.322,0.155,0,0,0,1697,0.288,0.181,1485,0.21,0.115,841,0.203,0.064,1035,0.171,0.105
100064343604046,929bnfmcauayan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100067118364824,PTVph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100095218417453,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
