Measure-Key,Measure-Name,Input-networks,Input-nodesets,Input-parameters,
inDegreeCentrality-1,inDegreeCentrality,Agent x Agent - Mentioned-By,,,
inDegreeCentrality-2,inDegreeCentrality,Agent x Agent - Quoted-By,,,
twitter-actualInfluencer-1,twitter-actualInfluencer,"Agent x Agent - Mentioned-By, Agent x Agent - Quoted-By, Agent x Agent - Replied-By, Agent x Agent - Retweeted-By",,,
twitter-averageMentionsPerTweet-1,twitter-averageMentionsPerTweet,"Agent x Agent - Mentioned-By, Agent x Tweet - Sender",,,
twitter-mostMentioned-1,twitter-mostMentioned,Agent x Agent - Mentioned-By,,,
twitter-numberOfFollowers-1,twitter-numberOfFollowers,,,,
twitter-potentialConnectors-1,twitter-potentialConnectors,"Agent x Agent - Mentioned-By, Agent x Agent - Quoted-By, Agent x Agent - Replied-By, Agent x Agent - Retweeted-By",,,
twitter-potentialConsensusLeaders-1,twitter-potentialConsensusLeaders,Agent x Hashtag,,,
twitter-potentialConsensusLeaders-2,twitter-potentialConsensusLeaders,Agent x Word,,,
twitter-potentialReach-1,twitter-potentialReach,"Agent x Agent - Mentioned-By, Agent x Agent - Quoted-By, Agent x Agent - Replied-By, Agent x Agent - Retweeted-By",,,
twitter-trustedSource-1,twitter-trustedSource,"Agent x Agent - Quoted-By, Agent x Agent - Replied-By, Agent x Agent - Retweeted-By",,,
twitter-wantsToBeInfluencer-1,twitter-wantsToBeInfluencer,"Agent x Agent - Mentioned-By, Agent x Agent - Quoted-By, Agent x Agent - Replied-By, Agent x Agent - Retweeted-By",,,
