Node-Id,Node-Title,inDegreeCentrality-1-Balikatan_2022_Reduced,inDegreeCentrality-1-Balikatan_2022_Reduced-unscaled,inDegreeCentrality-2-Balikatan_2022_Reduced,inDegreeCentrality-2-Balikatan_2022_Reduced-unscaled,twitter-actualInfluencer-1-Balikatan_2022_Reduced,twitter-actualInfluencer-1-Balikatan_2022_Reduced-unscaled,twitter-averageMentionsPerTweet-1-Balikatan_2022_Reduced,twitter-averageMentionsPerTweet-1-Balikatan_2022_Reduced-unscaled,twitter-mostMentioned-1-Balikatan_2022_Reduced,twitter-mostMentioned-1-Balikatan_2022_Reduced-unscaled,twitter-numberOfFollowers-1-Balikatan_2022_Reduced,twitter-numberOfFollowers-1-Balikatan_2022_Reduced-unscaled,twitter-potentialConnectors-1-Balikatan_2022_Reduced,twitter-potentialConnectors-1-Balikatan_2022_Reduced-unscaled,twitter-potentialConsensusLeaders-1-Balikatan_2022_Reduced,twitter-potentialConsensusLeaders-1-Balikatan_2022_Reduced-unscaled,twitter-potentialConsensusLeaders-2-Balikatan_2022_Reduced,twitter-potentialConsensusLeaders-2-Balikatan_2022_Reduced-unscaled,twitter-potentialReach-1-Balikatan_2022_Reduced,twitter-potentialReach-1-Balikatan_2022_Reduced-unscaled,twitter-trustedSource-1-Balikatan_2022_Reduced,twitter-trustedSource-1-Balikatan_2022_Reduced-unscaled,twitter-wantsToBeInfluencer-1-Balikatan_2022_Reduced,twitter-wantsToBeInfluencer-1-Balikatan_2022_Reduced-unscaled,
1487041979795980289,BosesTiAmianan,0,0,0,0,1.318e-04,1368,0,0,0,0,6.008e-05,531,0,0,0,0,1.558e-04,0.302,0,1213,0.005,6,0,0,
24112747,INDOPACOM,0.002,31,0,0,0.211,2194236,0.214,1.069,0.056,70,0.038,334206,0.001,13977510,0.012,3.146,0.012,23.136,3.825e-04,4253199.500,0.331,417,0.014,17,
951720519203635201,takderkordi,0,0,0,0,0.001,14971,0,0,0.004,5,2.877e-04,2543,0,0,5.712e-05,0.015,1.475e-04,0.286,2.741e-06,30470.738,0.006,7,0,0,
28943891,Redbrandog,0,0,0,0,5.106e-05,530,0,0,0,0,5.997e-05,530,0,530,5.712e-05,0.015,1.475e-04,0.286,0,0,0,0,7.949e-04,1,
986696690630508547,enkoryaw,0,0,0,0,2.957e-05,307,0,0,0,0,3.473e-05,307,0,307,5.712e-05,0.015,1.475e-04,0.286,0,0,0,0,7.949e-04,1,
1511704288401059840,CordiDayMM,0.003,43,2.648e-04,2,0.002,23945,0.307,1.536,0.004,5,2.829e-06,25,0,1342.370,0.001,0.354,0.004,7.971,7.127e-06,79238.750,0.010,13,0.006,7,
349973436,KimTomCan,0,0,0,0,8.025e-05,833,0,0,0,0,9.425e-05,833,0,833,5.712e-05,0.015,1.475e-04,0.286,0,0,0,0,7.949e-04,1,
792718821555482628,prince_turtogo,0,0,0,0,1.591e-04,1652,0,0,0,0,1.869e-04,1652,0,1652.000,5.712e-05,0.015,1.475e-04,0.286,0,0,0,0,7.949e-04,1,
1176545268415619072,agbinnadangtayo,7.221e-05,1,0,0,7.613e-04,7903,0.100,0.500,0.004,5,4.424e-05,391,0,1637.286,9.894e-05,0.025,2.701e-04,0.524,2.066e-06,22967.812,7.949e-04,1,0.002,2,
1040246530030981121,entruepy,7.221e-05,1,0,0,1.281e-04,1330,0.100,0.500,0,0,1.505e-04,1330,0,3990,1.233e-04,0.032,3.975e-04,0.771,0,0,0,0,0.002,3,
