AgentID,AgentLabel,Back-document-count,Back-avg-document-likelihood,Back-avg-document-strength,Build-document-count,Build-avg-document-likelihood,Build-avg-document-strength,Bridge-document-count,Bridge-avg-document-likelihood,Bridge-avg-document-strength,Boost-document-count,Boost-avg-document-likelihood,Boost-avg-document-strength,Excite-document-count,Excite-avg-document-likelihood,Excite-avg-document-strength,Engage-document-count,Engage-avg-document-likelihood,Engage-avg-document-strength,Explain-document-count,Explain-avg-document-likelihood,Explain-avg-document-strength,Enhance-document-count,Enhance-avg-document-likelihood,Enhance-avg-document-strength,Neutralize-document-count,Neutralize-avg-document-likelihood,Neutralize-avg-document-strength,Negate-document-count,Negate-avg-document-likelihood,Negate-avg-document-strength,Narrow-document-count,Narrow-avg-document-likelihood,Narrow-avg-document-strength,Neglect-document-count,Neglect-avg-document-likelihood,Neglect-avg-document-strength,Dismay-document-count,Dismay-avg-document-likelihood,Dismay-avg-document-strength,Dismiss-document-count,Dismiss-avg-document-likelihood,Dismiss-avg-document-strength,Distort-document-count,Distort-avg-document-likelihood,Distort-avg-document-strength,Distract-document-count,Distract-avg-document-likelihood,Distract-avg-document-strength,
1487041979795980289,BosesTiAmianan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.667,0,0,0,0,0,0,1,0.200,5.115e-05,1,0.667,0.667,0,0,0,0,0,0,0,0,0,0,0,0,
24112747,INDOPACOM,4,1,0.718,19,0.509,0.263,13,0.364,0.135,11,0.404,0.235,3,0.307,0.198,4,1,0.693,3,0.545,0.409,29,1,0.697,2,0.027,0.007,13,0.114,0.036,28,0.214,0.016,14,0.405,0.405,13,0.189,0.113,19,0.158,0.070,0,0,0,12,0.257,0.111,
951720519203635201,takderkordi,0,0,0,0,0,0,1,0.267,0.150,1,0.333,0.222,0,0,0,0,0,0,0,0,0,1,1,0.700,0,0,0,1,0.077,0.019,1,0.200,5.095e-04,1,0.667,0.667,1,0.158,0.079,1,0.125,0.031,0,0,0,1,0.250,0.104,
28943891,Redbrandog,1,1,0.728,0,0,0,1,0.267,0.150,1,0.333,0.222,1,0.294,0.191,1,1,0.694,0,0,0,1,1,0.700,0,0,0,1,0.077,0.019,1,0.200,5.095e-04,1,0.667,0.667,1,0.158,0.079,1,0.125,0.031,0,0,0,1,0.250,0.104,
986696690630508547,enkoryaw,1,1,0.728,0,0,0,1,0.267,0.150,1,0.333,0.222,1,0.294,0.191,1,1,0.694,0,0,0,1,1,0.700,0,0,0,1,0.077,0.019,1,0.200,5.095e-04,1,0.667,0.667,1,0.158,0.079,1,0.125,0.031,0,0,0,1,0.250,0.104,
1511704288401059840,CordiDayMM,15,1,0.724,11,0.500,0.386,20,0.240,0.138,13,0.425,0.254,14,0.335,0.230,20,1,0.707,2,0.515,0.413,27,1,0.711,3,0.676,0.363,13,0.097,0.040,28,0.264,0.052,19,0.427,0.430,7,0.208,0.147,15,0.167,0.077,10,0.183,0.071,14,0.256,0.130,
349973436,KimTomCan,1,1,0.728,0,0,0,1,0.267,0.150,1,0.333,0.222,1,0.294,0.191,1,1,0.694,0,0,0,1,1,0.700,0,0,0,1,0.077,0.019,1,0.200,5.095e-04,1,0.667,0.667,1,0.158,0.079,1,0.125,0.031,0,0,0,1,0.250,0.104,
792718821555482628,prince_turtogo,1,1,0.728,0,0,0,1,0.267,0.150,1,0.333,0.222,1,0.294,0.191,1,1,0.694,0,0,0,1,1,0.700,0,0,0,1,0.077,0.019,1,0.200,5.095e-04,1,0.667,0.667,1,0.158,0.079,1,0.125,0.031,0,0,0,1,0.250,0.104,
1176545268415619072,agbinnadangtayo,1,1,0.728,1,0.556,0.333,2,0.267,0.175,2,0.389,0.264,2,0.314,0.216,1,1,0.694,0,0,0,2,1,0.735,1,0.054,0.014,2,0.077,0.019,2,0.200,0.056,1,0.667,0.667,1,0.158,0.079,2,0.125,0.031,1,0.333,0.083,2,0.250,0.127,
1040246530030981121,entruepy,2,1,0.718,1,0.500,0.208,1,0.267,0.150,1,0.333,0.222,2,0.294,0.191,2,1,0.681,0,0,0,2,1,0.683,1,0.054,0.020,2,0.077,0.029,2,0.200,3.839e-04,1,0.667,0.667,2,0.184,0.112,2,0.188,0.086,1,0.167,0.042,2,0.250,0.104,
316937242,StanfordWBBBlog,0,0,0,0,0,0,0,0,0,0,0,0,1,0.373,0.225,0,0,0,0,0,0,0,0,0,0,0,0,1,0.077,0.077,1,0.400,0.236,1,0.667,0.667,1,0.175,0.149,1,0.312,0.188,1,0.167,0.083,1,0.250,0.244,
471547670,alexplitsas,1,1,0.717,0,0,0,1,0.333,0.250,1,0.370,0.389,1,0.294,0.221,1,1,0.681,0,0,0,1,1,0.767,0,0,0,1,0.077,0.019,1,0.200,0.200,1,0.333,0.333,1,0.158,0.105,1,0.250,0.094,1,0.333,0.083,1,0.333,0.208,
1433419690638983168,sacred_promise,0,0,0,0,0,0,1,0.333,0.250,1,0.370,0.389,0,0,0,0,0,0,0,0,0,1,1,0.767,0,0,0,1,0.077,0.019,1,0.200,0.200,1,0.333,0.333,1,0.158,0.105,1,0.250,0.094,1,0.333,0.083,1,0.333,0.208,
3837500787,IPDefenseForum,7,1,0.712,6,0.509,0.319,12,0.239,0.171,5,0.348,0.194,2,0.343,0.245,9,1,0.677,4,0.515,0.430,20,1,0.706,2,0.514,0.274,4,0.122,0.043,19,0.277,0.155,15,0.533,0.533,5,0.189,0.118,9,0.146,0.066,0,0,0,6,0.250,0.141,
1596428281,BoDiplo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.691,0,0,0,0,0,0,1,0.200,0.092,1,0.667,0.667,0,0,0,0,0,0,0,0,0,0,0,0,
2216405453,PacificMarines,6,1,0.711,11,0.535,0.341,15,0.431,0.150,11,0.441,0.245,4,0.314,0.207,6,1,0.704,3,0.525,0.359,15,1,0.722,0,0,0,9,0.085,0.028,15,0.227,0.060,6,0.444,0.444,9,0.199,0.120,11,0.165,0.072,1,0.167,0.042,10,0.261,0.125,
92611744,USARPAC,2,1,0.715,6,0.556,0.375,8,0.358,0.138,7,0.434,0.294,2,0.314,0.211,2,1,0.690,0,0,0,8,1,0.721,0,0,0,4,0.135,0.034,8,0.225,0.008,2,0.333,0.333,4,0.189,0.096,7,0.134,0.056,0,0,0,4,0.313,0.120,
2744294556,Japan_GSDF,1,1,0.728,1,0.556,0.417,1,0.467,0.200,1,0.444,0.278,1,0.275,0.186,1,1,0.681,1,0.545,0.409,1,1,0.667,0,0,0,0,0,0,1,0.200,0,1,0.333,0.333,0,0,0,0,0,0,0,0,0,0,0,0,
81155662,US_STRATCOM,5,1,0.726,6,0.528,0.368,10,0.367,0.150,9,0.424,0.256,10,0.345,0.218,9,1,0.676,6,0.540,0.400,14,1,0.767,3,0.676,0.365,9,0.085,0.043,14,0.252,0.125,9,0.444,0.444,9,0.183,0.134,11,0.195,0.091,2,0.167,0.042,9,0.259,0.173,
119407077,HQUSAFEAFAF,0,0,0,1,0.500,0.417,1,0.200,0.100,0,0,0,0,0,0,0,0,0,1,0.545,0.364,1,1,0.683,0,0,0,1,0.308,0.077,1,0.200,1.446e-10,0,0,0,1,0.333,0.175,1,0.312,0.125,0,0,0,1,0.333,0.125,
19611483,usairforce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
115684356,AFGlobalStrike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
83795099,NATO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8775672,USArmy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4068016160,tni_ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.667,0,0,0,0,0,0,1,0.200,1.019e-06,1,0.333,0.333,0,0,0,1,0.125,0.078,0,0,0,0,0,0,
78489442,USEmbassyPH,1,1,0.761,5,0.511,0.317,6,0.356,0.192,6,0.426,0.269,2,0.304,0.221,2,1,0.718,0,0,0,8,1,0.755,1,0.027,0.014,5,0.144,0.062,8,0.283,0.179,4,0.361,0.375,4,0.202,0.119,6,0.156,0.055,1,0.167,0.042,6,0.292,0.237,
1178902181593964544,F_CEAFE,2,1,0.701,1,0.500,0.417,1,0.400,0.150,1,0.444,0.250,1,0.353,0.206,2,1,0.674,1,0.636,0.364,2,1,0.708,0,0,0,2,0.077,0.048,1,0.467,0.150,1,0.667,0.667,2,0.175,0.143,2,0.219,0.102,1,0.167,0.042,1,0.250,0.167,
939341267040796673,Dale116dot7,4,1,0.713,2,0.500,0.333,3,0.311,0.133,3,0.457,0.296,3,0.346,0.198,4,1,0.686,2,0.561,0.379,4,1,0.733,1,0.081,0.020,3,0.128,0.051,3,0.289,0.050,3,0.556,0.556,3,0.205,0.139,3,0.208,0.083,1,0.167,0.042,2,0.250,0.135,
1247217504956682241,NATOUnitedForce,1,1,0.719,1,0.500,0.417,1,0.400,0.150,1,0.444,0.250,1,0.353,0.206,1,1,0.694,1,0.636,0.364,1,1,0.733,0,0,0,1,0.077,0.077,1,0.467,0.150,0,0,0,1,0.193,0.193,1,0.250,0.141,1,0.167,0.042,1,0.250,0.167,
731034620,MaryscottG,1,1,0.711,1,0.611,0.333,0,0,0,0,0,0,1,0.294,0.162,1,1,0.694,1,0.545,0.409,1,1,0.724,1,0.054,0.014,1,0.077,0.019,1,0.400,0.072,0,0,0,0,0,0,1,0.188,0.047,1,0.333,0.083,1,0.250,0.113,
1528726698,usconsmontreal,0,0,0,1,0.611,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.724,1,0.054,0.014,1,0.077,0.019,1,0.400,0.072,0,0,0,0,0,0,1,0.188,0.047,1,0.333,0.083,1,0.250,0.113,
809841734058393600,USAmbCanada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1241977585673752576,provider808,10,1,0.699,7,0.500,0.262,4,0.250,0.075,5,0.370,0.206,2,0.353,0.228,10,1,0.684,2,0.606,0.402,10,1,0.700,2,0.041,0.010,6,0.077,0.032,9,0.252,0.022,4,0.500,0.500,7,0.185,0.125,9,0.174,0.080,1,0.167,0.042,5,0.250,0.117,
