AgentID,AgentLabel,Back-document-count,Back-avg-document-likelihood,Back-avg-document-strength,Build-document-count,Build-avg-document-likelihood,Build-avg-document-strength,Bridge-document-count,Bridge-avg-document-likelihood,Bridge-avg-document-strength,Boost-document-count,Boost-avg-document-likelihood,Boost-avg-document-strength,Excite-document-count,Excite-avg-document-likelihood,Excite-avg-document-strength,Engage-document-count,Engage-avg-document-likelihood,Engage-avg-document-strength,Explain-document-count,Explain-avg-document-likelihood,Explain-avg-document-strength,Enhance-document-count,Enhance-avg-document-likelihood,Enhance-avg-document-strength,Neutralize-document-count,Neutralize-avg-document-likelihood,Neutralize-avg-document-strength,Negate-document-count,Negate-avg-document-likelihood,Negate-avg-document-strength,Narrow-document-count,Narrow-avg-document-likelihood,Narrow-avg-document-strength,Neglect-document-count,Neglect-avg-document-likelihood,Neglect-avg-document-strength,Dismay-document-count,Dismay-avg-document-likelihood,Dismay-avg-document-strength,Dismiss-document-count,Dismiss-avg-document-likelihood,Dismiss-avg-document-strength,Distort-document-count,Distort-avg-document-likelihood,Distort-avg-document-strength,Distract-document-count,Distract-avg-document-likelihood,Distract-avg-document-strength,
1487041979795980289,BosesTiAmianan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24112747,INDOPACOM,77,1,0.715,77,0.544,0.420,83,0.533,0.225,52,0.504,0.364,20,0.296,0.164,78,1,0.687,78,0.549,0.415,83,1,0.718,2,0.514,0.277,52,0.107,0.027,83,0.205,0.013,6,0.333,0.333,51,0.170,0.106,62,0.156,0.077,0,0,0,52,0.285,0.117,
951720519203635201,takderkordi,25,1,0.721,24,0.500,0.458,27,0.230,0.170,6,0.463,0.306,10,0.322,0.237,27,1,0.719,3,0.545,0.523,27,1,0.725,1,1,0.541,10,0.077,0.040,27,0.326,0.045,6,0.333,0.333,4,0.193,0.149,10,0.144,0.053,0,0,0,11,0.250,0.135,
28943891,Redbrandog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
986696690630508547,enkoryaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1511704288401059840,CordiDayMM,4,1,0.711,5,0.500,0.167,0,0,0,0,0,0,0,0,0,4,1,0.671,0,0,0,5,1,0.667,0,0,0,0,0,0,5,0.200,9.161e-04,0,0,0,0,0,0,0,0,0,5,0.167,0.042,0,0,0,
349973436,KimTomCan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
792718821555482628,prince_turtogo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1176545268415619072,agbinnadangtayo,22,1,0.725,21,0.500,0.482,24,0.233,0.185,6,0.463,0.306,10,0.322,0.237,24,1,0.721,3,0.545,0.523,24,1,0.730,1,1,0.541,10,0.077,0.040,24,0.317,0.044,6,0.333,0.333,4,0.193,0.149,10,0.144,0.053,0,0,0,11,0.250,0.135,
1040246530030981121,entruepy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
316937242,StanfordWBBBlog,1,1,0.686,1,0.500,0.125,1,0.200,0.050,0,0,0,0,0,0,1,1,0.657,0,0,0,0,0,0,0,0,0,0,0,0,1,0.400,0.250,1,0.333,0.333,0,0,0,0,0,0,0,0,0,1,0.250,0.125,
471547670,alexplitsas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1433419690638983168,sacred_promise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3837500787,IPDefenseForum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1596428281,BoDiplo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2216405453,PacificMarines,190,1,0.694,199,0.500,0.232,79,0.463,0.148,50,0.444,0.278,0,0,0,191,1,0.666,27,0.492,0.420,199,1,0.688,3,0.027,0.007,81,0.227,0.079,199,0.201,0.002,54,0.333,0.333,78,0.242,0.122,140,0.160,0.067,0,0,0,82,0.250,0.090,
92611744,USARPAC,15,1,0.713,19,0.529,0.414,19,0.533,0.295,16,0.454,0.306,10,0.320,0.180,15,1,0.679,7,0.563,0.426,19,1,0.703,4,0.081,0.020,12,0.128,0.032,19,0.200,0.013,0,0,0,19,0.182,0.106,12,0.208,0.074,0,0,0,12,0.250,0.107,
2744294556,Japan_GSDF,33,1,0.704,37,0.515,0.387,37,0.348,0.161,12,0.444,0.324,6,0.294,0.162,34,1,0.694,31,0.502,0.419,37,1,0.686,0,0,0,30,0.226,0.083,37,0.200,0.002,0,0,0,37,0.240,0.115,30,0.188,0.052,0,0,0,30,0.250,0.105,
81155662,US_STRATCOM,2,1,0.717,3,0.500,0.500,3,0.533,0.267,2,0.444,0.333,2,0.333,0.196,2,1,0.681,0,0,0,3,1,0.705,0,0,0,3,0.077,0.032,3,0.200,0.066,0,0,0,2,0.158,0.092,3,0.167,0.052,1,0.167,0.042,3,0.250,0.146,
119407077,HQUSAFEAFAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19611483,usairforce,23,1,0.719,26,0.500,0.397,26,0.377,0.148,25,0.453,0.257,25,0.360,0.208,24,1,0.695,26,0.633,0.369,26,1,0.739,3,0.027,0.007,26,0.086,0.070,26,0.449,0.138,0,0,0,26,0.196,0.183,26,0.260,0.135,25,0.167,0.042,26,0.253,0.160,
115684356,AFGlobalStrike,21,1,0.719,23,0.500,0.417,23,0.391,0.148,22,0.444,0.250,22,0.353,0.206,22,1,0.694,23,0.632,0.364,23,1,0.731,0,0,0,23,0.087,0.077,23,0.455,0.143,0,0,0,23,0.199,0.192,23,0.253,0.140,22,0.167,0.042,23,0.254,0.165,
83795099,NATO,23,1,0.719,25,0.513,0.413,25,0.376,0.140,22,0.444,0.250,24,0.350,0.205,24,1,0.693,25,0.625,0.367,25,1,0.739,0,0,0,25,0.092,0.074,25,0.435,0.148,0,0,0,25,0.200,0.187,25,0.249,0.135,22,0.167,0.042,25,0.260,0.168,
8775672,USArmy,38,1,0.711,36,0.630,0.444,45,0.510,0.240,36,0.470,0.353,32,0.300,0.173,40,1,0.675,42,0.566,0.427,45,1,0.714,2,1,0.541,28,0.154,0.038,45,0.204,0.007,9,0.333,0.333,35,0.168,0.083,14,0.125,0.048,0,0,0,28,0.336,0.126,
4068016160,tni_ad,32,1,0.719,33,0.601,0.376,33,0.489,0.233,33,0.481,0.351,32,0.304,0.182,32,1,0.681,19,0.545,0.409,33,1,0.734,0,0,0,20,0.154,0.038,33,0.206,0.003,0,0,0,20,0.161,0.080,14,0.125,0.060,0,0,0,20,0.338,0.127,
