AgentID,AgentLabel,SuperSpreader,SuperFriend,GeneralInfluencer,EigenvectorCentrality,
1487041979795980289,BosesTiAmianan,0.012,0,0.006,2.988e-05,
24112747,INDOPACOM,1,1,1,0.506,
951720519203635201,takderkordi,0.086,0,0.013,0.010,
28943891,Redbrandog,0.005,0,0.006,1.839e-04,
986696690630508547,enkoryaw,0.005,0,0.006,1.839e-04,
1511704288401059840,CordiDayMM,0.292,0.500,0.289,0.029,
349973436,KimTomCan,0.005,0,0.006,1.839e-04,
792718821555482628,prince_turtogo,0.005,0,0.006,1.839e-04,
1176545268415619072,agbinnadangtayo,0.081,0,0.026,0.009,
1040246530030981121,entruepy,0.011,0,0.025,1.946e-04,
316937242,StanfordWBBBlog,0.007,0,0.002,0.002,
471547670,alexplitsas,0.005,0,0.008,0.001,
1433419690638983168,sacred_promise,0.006,0,0.004,0.001,
3837500787,IPDefenseForum,0.250,0,0.557,0.062,
1596428281,BoDiplo,0.006,0,0.004,4.572e-05,
2216405453,PacificMarines,0.449,0.500,0.525,0.254,
92611744,USARPAC,0.255,1,0.280,0.082,
2744294556,Japan_GSDF,0.144,0.500,0.126,0.035,
81155662,US_STRATCOM,0.182,0.500,0.561,0.030,
119407077,HQUSAFEAFAF,0.056,0,0.069,5.829e-04,
19611483,usairforce,0.080,0,0.052,0.008,
115684356,AFGlobalStrike,0.064,0,0.033,0.004,
83795099,NATO,0.066,0,0.036,0.004,
8775672,USArmy,0.149,0,0.075,0.028,
4068016160,tni_ad,0.142,0,0.088,0.020,
78489442,USEmbassyPH,0.120,0.500,0.281,0.005,
1178902181593964544,F_CEAFE,0.011,0,0.071,0.007,
939341267040796673,Dale116dot7,0.024,0,0.088,0.010,
1247217504956682241,NATOUnitedForce,0.005,0,0.067,5.829e-04,
731034620,MaryscottG,0.005,0,0.024,8.963e-04,
1528726698,usconsmontreal,0.007,0,0.022,0.001,
809841734058393600,USAmbCanada,0.004,0,0.005,0.002,
1241977585673752576,provider808,0.060,0,0.194,0.056,
1278442604829564935,Tomas_Toman1972,0.017,0,0.055,0.001,
1507733800842899459,ZigaLekic,0.005,0,0.023,0.001,
704224716626780160,defence_mne,0.006,0,0.020,0.001,
111344559,GuardMaine,0.001,0,0.002,0.001,
1248352685537071104,HendrikCarly,0.005,0,0.067,5.829e-04,
2409571994,friendsrelec,0.005,0,0.068,5.829e-04,
4148621113,softwarnet,0.017,0,0.096,0.017,
1362247381702610944,MindyG50986913,0.024,0,0.078,0.005,
44890357,DemsAbroadCan,0.017,0,0.032,0.002,
1601766740,usconsvancouver,0.013,0,0.018,0.002,
1176963689628483584,Cox_NukePol,0.005,0,0.068,5.829e-04,
1196961020457234434,SKmartinTO,0.005,0,0.067,5.829e-04,
1385789278513287181,HarjivanSolank5,0.005,0,0.068,5.829e-04,
2188145495,raymaloney99,0.005,0,0.067,5.829e-04,
454324248,NixonKissinger,0.005,0,0.067,5.829e-04,
2397845204,laugh_in_pain,0.005,0,0.068,5.829e-04,
3114693488,Turgut_Guliyev,0.139,0,0.373,0.160,
880226143353401344,Mabel_Danger,0.017,0,0.083,0.015,
42458347,evspir,0.005,0,0.067,5.829e-04,
17197784,vtuss,0.005,0,0.026,0.001,
1324022303194292224,GAC_DM_FA,0.007,0,0.052,0.002,
1380265270137257987,DeputySecState,0.009,0,0.011,0.002,
317341166,CanEmbUSA,0.005,0,0.027,0.001,
2445558278,CanadaSlovakia,0.005,0,0.002,0,
2401610353,usphilsociety,0.005,0,0.007,6.921e-05,
205474999,ivolkman,0.036,0,0.086,0.005,
715371897630957572,futuredrwillis,0.005,0,0.008,6.921e-05,
183270050,edwarjose1,0.005,0,0.060,0.008,
1478840722518282241,USARPAC_CG,0.014,0,0.061,0.009,
1945463636,pitukpongpreech,0.017,0,0.099,0.021,
1447182320616812544,AttackCupcake,0.036,0,0.149,0.024,
1235680780489306112,krzysiek_prejs,0.011,0,0.077,0.019,
1258464081041858567,Glenda37241419,0.042,0,0.134,0.032,
785090532,I_Corps,0.005,0,0.064,0.008,
389950297,wadakashiho,0.157,0,0.394,0.118,
93471126,usembassytokyo,0.166,0,0.102,0.009,
18749026,PACAF,0.239,0.500,0.339,0.132,
25930421,US7thFleet,0.546,1,0.410,0.138,
2363702751,jhop4749,0.078,0,0.191,0.084,
54885400,USNavy,0.495,1,0.478,0.080,
863451486,CongSeneres,0.005,0,0.012,0.001,
1214215640912822272,derik_rivera,0.036,0,0.095,0.044,
1276786817396887553,Mattybink1,0.011,0,0.020,0.002,
1124877633206931456,woMfbJKqIvydpRP,0.133,0,0.342,0.124,
1182778132404695040,DiegoTiburonA,0.005,0,0.007,0.002,
1287104039617024000,Maxamdbar88888,0.011,0,0.029,0.007,
1366691151483338753,gang_urgee_suki,0.005,0,0.012,0.001,
1163719671117303808,KatsuhikoTsuda,0.072,0,0.196,0.056,
1474870194002530307,djcad2005,0.017,0,0.035,0.009,
1116348909478133762,DandekerLisa,0.011,0,0.030,0.004,
1412626677335683072,zebediizip,0.017,0,0.038,0.004,
102722975,SurfaceWarriors,0.138,1,0.180,0.020,
2875883148,FaleroJr,0.011,0,0.023,0.002,
4481687056,jdh_harms,0.048,0,0.130,0.043,
1275878602463199236,Cloudzzzz_,0.017,0,0.037,0.005,
2308345490,JANET_redstar,0.078,0,0.198,0.075,
3315682202,MoneyFindersLLC,0.011,0,0.029,0.007,
1170784150468476929,RobertW81555222,0.060,0,0.164,0.044,
1487076732536426500,Twang1776LZ,0.005,0,0.012,0.001,
1486097077,JorgePonceCaraz,0.054,0,0.151,0.052,
106971476,ArmyRecognition,0.011,0,0.038,0.007,
1393536165857406982,NelsColeman,0.042,0,0.126,0.030,
216530630,CSEASUCB,0.005,0,0.013,0.001,
1114761930818895872,richie016_00,0.011,0,0.038,0.001,
1086159045604577280,sondravet22,0.114,0,0.263,0.105,
22388574,carl_densing,0.005,0,0.012,0.001,
947045737841311747,cma_mohan,0.005,0,0.012,0.001,
28468549,USPacificFleet,0.246,1,0.481,0.103,
843103970721579008,CoreyEBeverage,0.005,0,0.012,0.001,
1358535923072385024,lareed2012,0.030,0,0.115,0.026,
260530323,Jessica_Ruddy16,0.005,0,0.012,0.001,
1012475880248143873,Karrasamelia5,0.011,0,0.022,0.002,
1347911851351404544,Tinker_Sparked,0.048,0,0.135,0.034,
