Document,Date,Author,Unique Agent Target,Back-likelihood-binarized-by-rule,Back-likelihood,Back-strength,Build-likelihood-binarized-by-rule,Build-likelihood,Build-strength,Bridge-likelihood-binarized-by-rule,Bridge-likelihood,Bridge-strength,Boost-likelihood-binarized-by-rule,Boost-likelihood,Boost-strength,Excite-likelihood-binarized-by-rule,Excite-likelihood,Excite-strength,Engage-likelihood-binarized-by-rule,Engage-likelihood,Engage-strength,Explain-likelihood-binarized-by-rule,Explain-likelihood,Explain-strength,Enhance-likelihood-binarized-by-rule,Enhance-likelihood,Enhance-strength,Neutralize-likelihood-binarized-by-rule,Neutralize-likelihood,Neutralize-strength,Negate-likelihood-binarized-by-rule,Negate-likelihood,Negate-strength,Narrow-likelihood-binarized-by-rule,Narrow-likelihood,Narrow-strength,Neglect-likelihood-binarized-by-rule,Neglect-likelihood,Neglect-strength,Dismay-likelihood-binarized-by-rule,Dismay-likelihood,Dismay-strength,Dismiss-likelihood-binarized-by-rule,Dismiss-likelihood,Dismiss-strength,Distort-likelihood-binarized-by-rule,Distort-likelihood,Distort-strength,Distract-likelihood-binarized-by-rule,Distract-likelihood,Distract-strength,
"37th BALIKATAN Exercises 2022 sinimulan, 4 School Building itatayo https://t.co/n6AfiHTKvJ",2022-03-12 06:39:21-05,BosesTiAmianan,,0,0,0,0,0.167,0.083,0,0,0,0,0.111,0.056,0,0.176,0.103,0,0.167,0.097,0,0.364,0.227,1,1,0.667,0,0,0,0,0,0,1,0.200,5.115e-05,1,0.667,0.667,0,0.105,0.066,0,0.062,0.016,0,0,0,0,0.167,0.042,
"An F/A-18F Super Hornet, from the Fighting Redcocks of #VFA22 and a C-2 Greyhound, from the Providers of #VCA30, prepare to launch off of the flight deck of the aircraft carrier #USSNimitz. #FreeAndOpenIndoPacific #PacificOcean #Readiness   : MC3 Justin McTaggart https://t.co/Y8HPYuiZUI",2022-03-06 22:00:01-05,INDOPACOM,,0,0,0,0,0.222,0.250,0,0,0,0,0.111,0.111,0,0.196,0.196,0,0.185,0.144,0,0.273,0.182,1,1,0.767,0,0,0,1,0.077,0.038,1,0.200,0.200,1,0.333,0.333,1,0.175,0.175,1,0.188,0.125,0,0,0,1,0.250,0.208,
Join us to pedal for a cause and avail our dry fit shirt for a minimum donation of P250. Proceeds will go to our #DefendCordilleraPH campaign fund.  Register here: https://t.co/vLADOimA5B #SaveApayao #LetOurRiversFlowFree https://t.co/WXw8NhEx8F,2022-04-11 07:31:21-04,takderkordi,,0,0,0,0,0.278,0.250,1,0.267,0.150,1,0.333,0.222,0,0.235,0.176,0,0.167,0.139,0,0.364,0.273,1,1,0.700,0,0,0,1,0.077,0.019,1,0.200,5.095e-04,1,0.667,0.667,1,0.158,0.079,1,0.125,0.031,0,0,0,1,0.250,0.104,
RT @takderkordi: Join us to pedal for a cause and avail our dry fit shirt for a minimum donation of P250. Proceeds will go to our #DefendCordilleraPH campaign fund.  Register here: https://t.co/vLADOimA5B #SaveApayao #LetOurRiversFlowFree https://t.co/WXw8NhEx8F,2022-04-11 23:22:16-04,Redbrandog,takderkordi,1,1,0.728,0,0.278,0.250,1,0.267,0.150,1,0.333,0.222,1,0.294,0.191,1,1,0.694,0,0.455,0.364,1,1,0.700,0,0,0,1,0.077,0.019,1,0.200,5.095e-04,1,0.667,0.667,1,0.158,0.079,1,0.125,0.031,0,0,0,1,0.250,0.104,
RT @takderkordi: Join us to pedal for a cause and avail our dry fit shirt for a minimum donation of P250. Proceeds will go to our #DefendCordilleraPH campaign fund.  Register here: https://t.co/vLADOimA5B #SaveApayao #LetOurRiversFlowFree https://t.co/WXw8NhEx8F,2022-04-11 13:32:53-04,enkoryaw,takderkordi,1,1,0.728,0,0.278,0.250,1,0.267,0.150,1,0.333,0.222,1,0.294,0.191,1,1,0.694,0,0.455,0.364,1,1,0.700,0,0,0,1,0.077,0.019,1,0.200,5.095e-04,1,0.667,0.667,1,0.158,0.079,1,0.125,0.031,0,0,0,1,0.250,0.104,
"Keep posted for more details of the activity. Like, follow, and share our official social media pages:  https://t.co/4pLnGKLjRv https://t.co/bkshPfS22Y  #CordiDayInMetroManila2022 #38thCordilleraDay #KordilyeraAgkaykaysa #UnitedNorth2022 #DefendCordilleraPH",2022-04-11 11:40:07-04,CordiDayMM,CordiDayMM,1,1,0.728,0,0.167,0.167,1,0.267,0.150,1,0.370,0.278,1,0.314,0.211,1,1,0.722,0,0.455,0.409,1,1,0.747,0,0,0,0,0,0,1,0.200,0.140,1,0.333,0.333,0,0.053,0.053,0,0,0,0,0,0,0,0.167,0.142,
"APRIL 17 Pedal for Rivers Welcome Rotonda - Bantayog ng mga Bayani MORE INFO: https://t.co/rC7kZxWomg REGISTER HERE: https://t.co/2x1xb9GuIC  APRIL 24 #CordiDayInMetroManila2022 Flower Garden, Quezon City Memorial Circle (Whole-day Activity)  #CordiDayInMetroManila2022",2022-04-11 11:40:06-04,CordiDayMM,,0,0,0,0,0.278,0.250,1,0.200,0.050,1,0.370,0.222,0,0.235,0.191,0,0.167,0.139,0,0.364,0.318,1,1,0.729,0,0,0,0,0,0,1,0.200,0.138,1,0.333,0.333,0,0.105,0.105,1,0.125,0.078,0,0,0,0,0.167,0.141,
RT @takderkordi: Join us to pedal for a cause and avail our dry fit shirt for a minimum donation of P250. Proceeds will go to our #DefendCordilleraPH campaign fund.  Register here: https://t.co/vLADOimA5B #SaveApayao #LetOurRiversFlowFree https://t.co/WXw8NhEx8F,2022-04-11 11:06:04-04,KimTomCan,takderkordi,1,1,0.728,0,0.278,0.250,1,0.267,0.150,1,0.333,0.222,1,0.294,0.191,1,1,0.694,0,0.455,0.364,1,1,0.700,0,0,0,1,0.077,0.019,1,0.200,5.095e-04,1,0.667,0.667,1,0.158,0.079,1,0.125,0.031,0,0,0,1,0.250,0.104,
RT @takderkordi: Join us to pedal for a cause and avail our dry fit shirt for a minimum donation of P250. Proceeds will go to our #DefendCordilleraPH campaign fund.  Register here: https://t.co/vLADOimA5B #SaveApayao #LetOurRiversFlowFree https://t.co/WXw8NhEx8F,2022-04-11 11:05:30-04,prince_turtogo,takderkordi,1,1,0.728,0,0.278,0.250,1,0.267,0.150,1,0.333,0.222,1,0.294,0.191,1,1,0.694,0,0.455,0.364,1,1,0.700,0,0,0,1,0.077,0.019,1,0.200,5.095e-04,1,0.667,0.667,1,0.158,0.079,1,0.125,0.031,0,0,0,1,0.250,0.104,
RT @takderkordi: Join us to pedal for a cause and avail our dry fit shirt for a minimum donation of P250. Proceeds will go to our #DefendCordilleraPH campaign fund.  Register here: https://t.co/vLADOimA5B #SaveApayao #LetOurRiversFlowFree https://t.co/WXw8NhEx8F,2022-04-11 10:55:38-04,agbinnadangtayo,takderkordi,1,1,0.728,0,0.278,0.250,1,0.267,0.150,1,0.333,0.222,1,0.294,0.191,1,1,0.694,0,0.455,0.364,1,1,0.700,0,0,0,1,0.077,0.019,1,0.200,5.095e-04,1,0.667,0.667,1,0.158,0.079,1,0.125,0.031,0,0,0,1,0.250,0.104,
RT @takderkordi: Join us to pedal for a cause and avail our dry fit shirt for a minimum donation of P250. Proceeds will go to our #DefendCordilleraPH campaign fund.  Register here: https://t.co/vLADOimA5B #SaveApayao #LetOurRiversFlowFree https://t.co/WXw8NhEx8F,2022-04-11 07:50:57-04,entruepy,takderkordi,1,1,0.728,0,0.278,0.250,1,0.267,0.150,1,0.333,0.222,1,0.294,0.191,1,1,0.694,0,0.455,0.364,1,1,0.700,0,0,0,1,0.077,0.019,1,0.200,5.095e-04,1,0.667,0.667,1,0.158,0.079,1,0.125,0.031,0,0,0,1,0.250,0.104,
"OMG, @lexiehulll goes 6th and the @WNBA didn't even invite her to the draft party, congrats but I feel sad she diget to have her moment in the sun!!",2022-04-11 23:51:35-04,StanfordWBBBlog,,0,0,0,0,0.222,0.250,0,0.067,0.100,0,0.259,0.194,1,0.373,0.225,0,0.167,0.125,0,0.182,0.159,0,0.133,0.129,0,0,0,1,0.077,0.077,1,0.400,0.236,1,0.667,0.667,1,0.175,0.149,1,0.312,0.188,1,0.167,0.083,1,0.250,0.244,
"RT @sacred_promise: Looking for a little #mondaymotivation? Here it is! Join @AUSGKPU and @AU_SOC in hosting tonight's joint panel with OSP, featuring @SamuelBrownback, Afghan scholars, and resettlement volunteers. The event begins at 7 PM EST: https://t.co/twkm9x2eZT   #shouldertoshoulder",2022-04-11 15:51:29-04,alexplitsas,sacred_promise,1,1,0.717,0,0.222,0.250,1,0.333,0.250,1,0.370,0.389,1,0.294,0.221,1,1,0.681,0,0.455,0.386,1,1,0.767,0,0,0,1,0.077,0.019,1,0.200,0.200,1,0.333,0.333,1,0.158,0.105,1,0.250,0.094,1,0.333,0.083,1,0.333,0.208,
"Looking for a little #mondaymotivation? Here it is! Join @AUSGKPU and @AU_SOC in hosting tonight's joint panel with OSP, featuring @SamuelBrownback, Afghan scholars, and resettlement volunteers. The event begins at 7 PM EST: https://t.co/twkm9x2eZT   #shouldertoshoulder",2022-04-11 15:24:07-04,sacred_promise,,0,0,0,0,0.222,0.250,1,0.333,0.250,1,0.370,0.389,0,0.235,0.206,0,0.167,0.125,0,0.364,0.295,1,1,0.767,0,0,0,1,0.077,0.019,1,0.200,0.200,1,0.333,0.333,1,0.158,0.105,1,0.250,0.094,1,0.333,0.083,1,0.333,0.208,
Record-size Balikatan exercise begins in the Philippines https://t.co/owEKDxuB1w #AFP #ExerciseBalikatan #IndoPacific https://t.co/gCoU80eFVj,2022-03-30 09:25:59-04,IPDefenseForum,,0,0,0,0,0.167,0.042,0,0,0,0,0.111,0.028,0,0.176,0.088,0,0.167,0.097,0,0.455,0.386,1,1,0.667,0,0,0,0,0,0,1,0.200,0,1,0.667,0.667,0,0.105,0.066,0,0.062,0.016,0,0,0,0,0.167,0.021,
美國海軍遠征基地艦“米格爾·基斯”號(ESB-5)進入南海，即將和林肯號航母打擊群一起參加美國-菲律賓聯合軍事演習Balikatan 2022。米格爾·基斯號排水量九萬噸以上，是美軍中僅次於航母的大型水面平臺。作爲移動的海上基地，上面可以搭載直升機，魚鷹，各種船艇，和陸戰隊，執行各種作戰任務。 https://t.co/CJtjmbiFh5,2022-03-28 13:34:00-04,BoDiplo,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118,0.061,0,0.111,0.058,0,0.455,0.299,1,1,0.691,0,0,0,0,0,0,1,0.200,0.092,1,0.667,0.667,0,0.105,0.055,0,0.062,0.016,0,0,0,0,0.083,0.038,
"Soldiers and sailors from the Philippines and U.S. conduct the first-ever amphibious insert of a Patriot missile system in the Philippines during Balikatan 22, at Aparri, Philippines, March 28, 2022.  #Balikatan #Philippines #PatriotMissileSystem https://t.co/VpqhwlAIIb",2022-04-01 04:50:26-04,IPDefenseForum,,0,0,0,0,0.167,0.167,0,0,0,0,0.111,0.167,0,0.176,0.132,0,0.167,0.125,0,0.364,0.295,1,1,0.700,0,0,0,0,0,0,1,0.200,0,1,0.333,0.333,0,0.105,0.066,0,0.062,0.016,0,0,0,0,0.167,0.083,
"Philippine Marines conduct a bilateral amphibious landing with U.S. Marines with 1st Battalion, 3d Marines, 3d Marine Division, during Balikatan 22 at Aparri, Philippines, March 31, 2022.  #Balikatan #BK22 https://t.co/eNJLgtZJfz",2022-04-07 09:00:47-04,IPDefenseForum,,0,0,0,0,0.167,0.083,1,0.200,0.100,1,0.333,0.167,0,0.176,0.118,0,0.167,0.097,0,0.364,0.295,1,1,0.679,0,0,0,1,0.077,0.019,1,0.200,0.037,1,0.333,0.333,1,0.158,0.092,1,0.188,0.062,0,0,0,1,0.250,0.078,
"#SeniorLeadersSeminar2022, Lt.Gen. Rudder &amp; @USARPAC CG Gen. Flynn joined @Japan_GSDF Gen. Yoshida. Discussion included changes in bilateral exercises, such as the consolidation of Iron Fist and MDX west of the IDL #FreeAndOpenIndoPacific #日米同盟 #協力 #sls22 #usjapanalliance https://t.co/XCMs5oEzMg",2022-04-04 19:11:10-04,PacificMarines,,0,0,0,1,0.611,0.500,1,0.733,0.450,1,0.444,0.389,0,0.176,0.162,0,0.167,0.125,0,0.364,0.295,1,1,0.704,0,0,0,1,0.077,0.019,1,0.200,0.011,0,0,0,1,0.175,0.123,1,0.188,0.078,0,0,0,1,0.250,0.109,
"Starting the week off strong with some #Airpower  #BTF missions demonstrate we are #AlwaysReady to detect &amp; deter threats against the U.S. &amp; our #FriendsPartnersAllies. The strategic bomber force is the most flexible, visible attribute of America's nuclear triad.  #Deterrence https://t.co/MqZ8nFndOT https://t.co/2riWhhN0fP",2022-04-11 19:09:42-04,US_STRATCOM,HQUSAFEAFAF,0,0,0,1,0.500,0.417,1,0.400,0.150,1,0.444,0.250,1,0.353,0.206,1,1,0.694,1,0.636,0.364,1,1,0.733,0,0,0,1,0.077,0.077,1,0.467,0.150,0,0,0,1,0.193,0.193,1,0.250,0.141,1,0.167,0.042,1,0.250,0.167,
"BTF Alert    U.S. Air Force bombers from the 5th BS operating out of forward deployed base RAF Fairford, U.K., conducted their latest long-range, BTF mission throughout #Europe, North and Mediterranean Sea Region   @eucomofficial @NATO @usairforce @AFGlobalStrike @USAF_ACC https://t.co/45dETqj3wL",2022-04-11 05:41:18-04,HQUSAFEAFAF,,0,0,0,1,0.500,0.417,1,0.200,0.100,0,0.222,0.194,0,0.176,0.176,0,0.167,0.125,1,0.545,0.364,1,1,0.683,0,0,0,1,0.308,0.077,1,0.200,0,0,0,0,1,0.333,0.175,1,0.312,0.125,0,0,0,1,0.333,0.125,
"@USArmy and @tni_ad soldiers worked together to complete a knowledge and endurance competition, March 20, 2022 #FriendsPartnersAllies @INDOPACOM https://t.co/1x76Yfhida",2022-04-11 00:00:01-04,USARPAC,,0,0,0,1,0.667,0.458,1,0.667,0.350,1,0.481,0.417,0,0.235,0.147,0,0.167,0.125,0,0.455,0.318,1,1,0.733,0,0,0,1,0.154,0.038,1,0.200,0,0,0,0,1,0.158,0.079,0,0.062,0.016,0,0,0,1,0.333,0.125,
The U.S. turned over a newly constructed assault boat maintenance bay facility valued at approximately Php17.5 million to support the Philippine Marine Corps' modernization plan.  Read: https://t.co/wEyYDEwntH  @AlphaCoyMarines #FriendsPartnersAllies #SideBySideAt75 https://t.co/OJWTF6ulCF,2022-04-11 11:30:13-04,USEmbassyPH,,0,0,0,0,0.167,0.167,0,0,0,0,0.148,0.167,0,0.196,0.181,0,0.185,0.157,0,0.364,0.250,1,1,0.720,0,0,0,1,0.077,0.038,1,0.200,0.010,1,0.333,0.333,1,0.211,0.132,1,0.188,0.062,1,0.167,0.042,1,0.278,0.171,
"RT @US_Stratcom: Starting the week off strong with some #Airpower  #BTF missions demonstrate we are #AlwaysReady to detect &amp; deter threats against the U.S. &amp; our #FriendsPartnersAllies. The strategic bomber force is the most flexible, visible attribute of America's nuclear triad.  #Deterrence https://t.co/MqZ8nFndOT https://t.co/2riWhhN0fP",2022-04-11 22:13:47-04,F_CEAFE,US_STRATCOM,1,1,0.719,1,0.500,0.417,1,0.400,0.150,1,0.444,0.250,1,0.353,0.206,1,1,0.694,1,0.636,0.364,1,1,0.733,0,0,0,1,0.077,0.077,1,0.467,0.150,0,0,0,1,0.193,0.193,1,0.250,0.141,1,0.167,0.042,1,0.250,0.167,
"RT @US_Stratcom: Starting the week off strong with some #Airpower  #BTF missions demonstrate we are #AlwaysReady to detect &amp; deter threats against the U.S. &amp; our #FriendsPartnersAllies. The strategic bomber force is the most flexible, visible attribute of America's nuclear triad.  #Deterrence https://t.co/MqZ8nFndOT https://t.co/2riWhhN0fP",2022-04-11 20:48:34-04,Dale116dot7,US_STRATCOM,1,1,0.719,1,0.500,0.417,1,0.400,0.150,1,0.444,0.250,1,0.353,0.206,1,1,0.694,1,0.636,0.364,1,1,0.733,0,0,0,1,0.077,0.077,1,0.467,0.150,0,0,0,1,0.193,0.193,1,0.250,0.141,1,0.167,0.042,1,0.250,0.167,
"RT @US_Stratcom: Starting the week off strong with some #Airpower  #BTF missions demonstrate we are #AlwaysReady to detect &amp; deter threats against the U.S. &amp; our #FriendsPartnersAllies. The strategic bomber force is the most flexible, visible attribute of America's nuclear triad.  #Deterrence https://t.co/MqZ8nFndOT https://t.co/2riWhhN0fP",2022-04-11 20:34:21-04,NATOUnitedForce,US_STRATCOM,1,1,0.719,1,0.500,0.417,1,0.400,0.150,1,0.444,0.250,1,0.353,0.206,1,1,0.694,1,0.636,0.364,1,1,0.733,0,0,0,1,0.077,0.077,1,0.467,0.150,0,0,0,1,0.193,0.193,1,0.250,0.141,1,0.167,0.042,1,0.250,0.167,
RT @usconsmontreal: We were pleased to welcome @USAmbCanada on his first official visit to Montreal last week! Here are some photos of his events and meetings:   https://t.co/bZ7HnalgAO  #FriendsPartnersAllies https://t.co/SbGTdNhW5c,2022-04-11 20:24:06-04,MaryscottG,usconsmontreal,1,1,0.711,1,0.611,0.333,0,0,0,0,0.259,0.194,1,0.294,0.162,1,1,0.694,1,0.545,0.409,1,1,0.724,1,0.054,0.014,1,0.077,0.019,1,0.400,0.072,0,0,0,0,0.123,0.083,1,0.188,0.047,1,0.333,0.083,1,0.250,0.113,
We were pleased to welcome @USAmbCanada on his first official visit to Montreal last week! Here are some photos of his events and meetings:   https://t.co/bZ7HnalgAO  #FriendsPartnersAllies https://t.co/SbGTdNhW5c,2022-04-11 18:36:07-04,usconsmontreal,USAmbCanada,0,0.044,0.044,1,0.611,0.333,0,0,0,0,0.259,0.194,0,0.235,0.147,0,0.167,0.139,0,0.455,0.318,1,1,0.724,1,0.054,0.014,1,0.077,0.019,1,0.400,0.072,0,0,0,0,0.123,0.083,1,0.188,0.047,1,0.333,0.083,1,0.250,0.113,
"RT @US_Stratcom: Starting the week off strong with some #Airpower  #BTF missions demonstrate we are #AlwaysReady to detect &amp; deter threats against the U.S. &amp; our #FriendsPartnersAllies. The strategic bomber force is the most flexible, visible attribute of America's nuclear triad.  #Deterrence https://t.co/MqZ8nFndOT https://t.co/2riWhhN0fP",2022-04-11 20:19:01-04,provider808,US_STRATCOM,1,1,0.719,1,0.500,0.417,1,0.400,0.150,1,0.444,0.250,1,0.353,0.206,1,1,0.694,1,0.636,0.364,1,1,0.733,0,0,0,1,0.077,0.077,1,0.467,0.150,0,0,0,1,0.193,0.193,1,0.250,0.141,1,0.167,0.042,1,0.250,0.167,
